held_out_day,system,rows,macro_f1,accuracy,balanced_accuracy,zero_f1
2023-04-10,main_raw,4315,0.20852144732711506,0.6567786790266512,0.4725807899449943,13
2023-04-10,dlcs_raw,4315,0.20852144732711506,0.6567786790266512,0.4725807899449943,13
2023-04-10,main_centered,4315,0.23369456312031234,0.6709154113557358,0.5135376075166107,14
2023-04-10,dlcs_centered,4315,0.23369456312031234,0.6709154113557358,0.5135376075166107,14
2023-04-11,main_raw,4499,0.3673289875134289,0.7350522338297399,0.5568197748878094,8
2023-04-11,dlcs_raw,4499,0.3673289875134289,0.7350522338297399,0.5568197748878094,8
2023-04-11,main_centered,4499,0.36440762592015585,0.7628361858190709,0.5701035518197622,9
2023-04-11,dlcs_centered,4499,0.36440762592015585,0.7628361858190709,0.5701035518197622,9
2023-04-12,main_raw,4639,0.357884211948989,0.5971114464324208,0.42483457690763554,7
2023-04-12,dlcs_raw,4639,0.3497336091303358,0.5958180642379823,0.4159444327979739,7
2023-04-12,main_centered,4639,0.3790899119983857,0.6400086225479629,0.43567646501959034,8
2023-04-12,dlcs_centered,4639,0.36099721347624153,0.634403966372063,0.4155220040853278,8
2023-04-13,main_raw,1929,0.31283015756077304,0.6827371695178849,0.44428692975692435,11
2023-04-13,dlcs_raw,1929,0.326568091260906,0.6905132192846034,0.45817581864581325,11
2023-04-13,main_centered,1929,0.3558379571037776,0.7547952306894764,0.5059140907137613,11
2023-04-13,dlcs_centered,1929,0.37069628410926064,0.7636080870917574,0.521654831454502,11
