system,macro_f1,accuracy,balanced_accuracy,zero_f1,rows
main_raw,0.36474779622739123,0.6649330386165648,0.374637954832156,4,15382
dlcs_raw,0.3679587836460742,0.6655181380834742,0.3754463680503575,4,15382
main_centered,0.4025838387002269,0.6989988298010662,0.4050608562191641,4,15382
dlcs_centered,0.39933118221894526,0.6984137303341568,0.40175309778280943,4,15382
